 size, count, proportion solvable, unaccounted
4, 10000, 0.087, 0
5, 10000, 0.1322, 0
6, 10000, 0.2228, 2
7, 10000, 0.337, 0
8, 10000, 0.4562, 0
9, 10000, 0.5709, 0
10, 10000, 0.6498, 0
11, 10000, 0.7076, 0
12, 10000, 0.7563, 0
13, 10000, 0.7955, 0
14, 10000, 0.8253, 0
15, 10000, 0.8552, 0
16, 10000, 0.8661, 0
17, 10000, 0.8558, 0
18, 10000, 0.8711, 0
19, 10000, 0.887, 0
20, 10000, 0.893, 0
21, 10000, 0.8992, 0
22, 10000, 0.9154, 0
23, 10000, 0.9144, 0
24, 10000, 0.9213, 0
25, 10000, 0.929, 0
26, 10000, 0.9243, 0
27, 10000, 0.9339, 0
28, 10000, 0.9402, 0
29, 10000, 0.9377, 0
30, 10000, 0.9451, 0
31, 10000, 0.9457, 0
32, 10000, 0.9467, 0
33, 10000, 0.9493, 0
34, 10000, 0.9553, 0
35, 10000, 0.9574, 0
36, 10000, 0.9559, 0
37, 10000, 0.9568, 0
38, 10000, 0.9612, 0
39, 10000, 0.9595, 0
40, 10000, 0.9647, 0
41, 10000, 0.9634, 0
42, 10000, 0.9655, 0
43, 10000, 0.9691, 0
44, 10000, 0.9645, 0
45, 10000, 0.9671, 0
46, 10000, 0.9683, 0
47, 10000, 0.9651, 0
48, 10000, 0.9683, 0
49, 10000, 0.971, 0
50, 10000, 0.9721, 0
51, 10000, 0.9709, 0
52, 10000, 0.9705, 0
53, 10000, 0.9677, 0
54, 10000, 0.9743, 0
55, 10000, 0.975, 0
56, 10000, 0.9717, 0
57, 10000, 0.9727, 0
58, 10000, 0.9731, 0
59, 10000, 0.9747, 0
60, 10000, 0.9709, 0
61, 10000, 0.9731, 0
62, 10000, 0.9796, 0
63, 10000, 0.9769, 0
64, 10000, 0.9761, 0
65, 10000, 0.9763, 0
66, 10000, 0.9753, 0
67, 10000, 0.9787, 0
68, 10000, 0.9792, 3
69, 10000, 0.9791, 0
70, 10000, 0.9782, 1
71, 10000, 0.9792, 5
72, 10000, 0.9788, 3
73, 10000, 0.9799, 8
74, 10000, 0.9805, 10
75, 10000, 0.9754, 22
76, 10000, 0.9801, 16
77, 10000, 0.9794, 26
78, 10000, 0.9776, 38
79, 10000, 0.9766, 44
80, 10000, 0.976, 50
81, 10000, 0.9758, 66
82, 10000, 0.9769, 74
83, 10000, 0.973, 97
84, 10000, 0.9712, 118
85, 10000, 0.9695, 130
86, 10000, 0.9752, 87
87, 10000, 0.9736, 81
88, 10000, 0.9734, 96
89, 10000, 0.972, 114
90, 10000, 0.9708, 143
91, 10000, 0.9626, 228
92, 1528, 0.960732984293, 39
